,uid,has_photo,sex,has_mobile,followers_count,contacts,relatives,relation,personal,activities,music,movies,tv,books,about,quotes,albums,audios,followers,friends,pages,photos,subscriptions,videos,clips_followers,age,city,country,avg_cl,trans,deg_centr,average_neighbor_degree,average_degree_connectivity,k_nearest_neighbors,degree_centrality,closeness_centrality,betweenness_centrality,diameter,average_shortest_path_length,target
1104,641535629,1,2,1.0,7.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,7.0,0.0,385.0,2.0,0.0,0.0,7.0,32.0,273.0,10.0,0.0,0.0,1.0,641535629.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1105,640552591,0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,640552591.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1106,648023697,1,2,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,648023697.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1107,648384148,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,41.0,7.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,648384148.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1108,649137813,0,1,1.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,20.0,2.0,389.0,3.0,0.0,20.0,22.0,24.0,99.0,1.0,0.0,0.0,0.6666666666666666,428121776.6666667,1.5,1.5,0.6666666666666666,0.7777777777777778,0.3333333333333333,2,1,0
1109,646614678,0,2,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,646614678.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1110,648646295,1,1,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,26.0,14.0,1.0,1.0,0.0,26.0,21.0,0.0,0.0,0.5043182743182743,0.1795511221945137,0.1225071225071225,494001523.0740741,11.61685853828711,11.61685853828711,0.1225071225071225,0.5414927879598003,0.0350997150997151,2,1,0
1111,650874524,1,1,1.0,364.0,0,1,1,1,1,1,1,1,1,1,1,0.0,48.0,364.0,404.0,42.0,20.0,9.0,38.0,768.0,0.0,1991.0,1.0,0.6513528397961037,0.7892655929025827,0.1789805450425933,573927293.7688442,137.32881069687772,137.32881069687772,0.1789805450425933,0.5552356516549821,0.0020732814519126,2,1,0
1112,650251933,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,650251933.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1113,651234977,1,1,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,5.0,18.0,0.0,0.0,31.0,149.0,0.0,13.0,0.0,32.0,1.0,1.0,0.0,0.0,1.0,651234977.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1114,650874530,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,650874530.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1115,649596577,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,10.0,101.0,0.0,1.0,0.0,0.0,0.0,119.0,1.0,0.0,0.0,1.0,649596577.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1116,649170596,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,649170596.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1117,645041826,0,2,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,15.0,58.0,0.0,0.0,0.7626814362108479,0.5242105263157895,0.4338235294117647,286660585.4117647,9.814795918367349,9.814795918367349,0.4338235294117647,0.6589725922788803,0.0377450980392156,2,1,0
1118,644320931,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,644320931.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1119,649694889,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,34.0,147.0,1.0,0.0,0.0,1.0,649694889.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1120,639504047,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,639504047.0,0.0,0.0,1.0,0.0,0.0,0,0,0
